# GeoShield Emergency Service Centers Reference Dataset (India-wide OSM-Mapped)
# Source: OpenStreetMap contributors via Humanitarian OpenStreetMap Team (HOT) / Geofabrik (medical, police, fire) & Overpass API (police supplementation only)
# License: Open Data Commons Open Database License (ODbL) 1.0 (https://opendatacommons.org/licenses/odbl/)
# Attribution: (c) OpenStreetMap contributors
# Extraction Date: 2026-09-18T21:00:00Z
# Geographic Scope: India-wide sovereign territory across all 36 States and Union Territories
# Geometry Validation: Point-in-polygon validated against official Survey of India / CGAZ state boundaries
# Categories: MEDICAL (amenity=hospital), RESPONSE_UNIT (amenity=police), FIRE (amenity=fire_station)
# Filtering: Named facilities only; valid coordinates strictly within Indian territory; deduplicated by OSM element ID and 10m spatial proximity
# Coordinate Reference System: WGS84 (EPSG:4326) Decimal Degrees
source_id,name,center_type,latitude,longitude,city,state,phone_number
osm-node-1471854713,C-3 Saibaba Colony Police Station,RESPONSE_UNIT,11.0266348,76.9515967,Coimbatore,Tamil Nadu,
osm-way-133072618,Ganga Hospital,MEDICAL,11.026063420000002,76.95243392,Coimbatore,Tamil Nadu,
osm-node-7844009725,Aswin Hospital,MEDICAL,11.0255271,76.9515108,Coimbatore,Tamil Nadu,
osm-node-1425221969,K T V R Group Hospital,MEDICAL,11.026167,76.9499384,Coimbatore,Tamil Nadu,
osm-way-686744601,"Dr.Sengaliappan Nursing Home, Coimbatore",MEDICAL,11.027256920000001,76.95010878000001,Coimbatore,Tamil Nadu,
osm-node-4510663590,"Shri Hari Hospital, Coimbatore",MEDICAL,11.0265248,76.9475939,Coimbatore,Tamil Nadu,
osm-node-7844009711,Onecare Ortho Hospital,MEDICAL,11.026568,76.948798,Coimbatore,Tamil Nadu,
osm-node-7844009743,Sakthi Fertility Hospital,MEDICAL,11.0255323,76.9463747,Coimbatore,Tamil Nadu,
osm-node-7844009749,Kandaswamy Sidhq Hospital,MEDICAL,11.026645,76.945987,Coimbatore,Tamil Nadu,
osm-node-6934430447,Vishnu Ent Hospital - Coimbatore,MEDICAL,11.0265389,76.9470734,Coimbatore,Tamil Nadu,
osm-node-1468079184,Akila Medicals,MEDICAL,11.0265516,76.9443924,Coimbatore,Tamil Nadu,
osm-node-1468079158,Somu medicals,MEDICAL,11.0264568,76.9448591,Coimbatore,Tamil Nadu,
osm-node-7844009710,Rukmani Ammal Hospital,MEDICAL,11.025042,76.9439008,Coimbatore,Tamil Nadu,
osm-node-7844009748,Masani Hospital,MEDICAL,11.0246928,76.9435571,Coimbatore,Tamil Nadu,
osm-node-6926369631,Sri Guru Hospital Pvt Ltd,MEDICAL,11.0264336,76.9423118,Coimbatore,Tamil Nadu,
osm-node-7844009721,Raaj Dental Hospital,MEDICAL,11.0263447,76.9423976,Coimbatore,Tamil Nadu,
osm-node-7844009763,Paavai ENT Hospital,MEDICAL,11.0270905,76.9416551,Coimbatore,Tamil Nadu,
osm-node-7257183964,"Sabari Hospital, Coimbatore",MEDICAL,11.0254441,76.939724,Coimbatore,Tamil Nadu,
osm-node-7844009765,Vishnupriys Hospital,MEDICAL,11.0365363,76.9317515,Coimbatore,Tamil Nadu,
osm-node-4571552072,Bethesda Hospital,MEDICAL,11.0354039,76.9304803,Coimbatore,Tamil Nadu,
osm-node-6936708011,Sri Vishnu Priyaa Hospitals Pvt Ltd,MEDICAL,11.036949,76.927958,Coimbatore,Tamil Nadu,
osm-node-7844009706,Ranjith Dental Hospital,MEDICAL,11.038389,76.926209,Coimbatore,Tamil Nadu,
osm-node-4571573811,"Kiruba Hospital, Koilmedu,Coimbatore",MEDICAL,11.0335068,76.929457,Coimbatore,Tamil Nadu,
osm-node-6932159823,"Ranga Hospital, Velandipalayam",MEDICAL,11.0290235,76.932096,Coimbatore,Tamil Nadu,
osm-node-1468079553,Dr.U.S.Prakash's Clinic,MEDICAL,11.0256249,76.9372845,Coimbatore,Tamil Nadu,
osm-node-7343511629,Devi Hospital,MEDICAL,11.0253792,76.9381035,Coimbatore,Tamil Nadu,
osm-node-12285349823,Arunai Hospitals,MEDICAL,11.0182403,76.9246,Coimbatore,Tamil Nadu,
osm-node-6936663154,Vega Ent Hospital,MEDICAL,11.0142295,76.9437897,Coimbatore,Tamil Nadu,
osm-node-1472211741,Sitalakshmi Hospital,MEDICAL,11.0142906,76.9449521,Coimbatore,Tamil Nadu,
osm-node-1472211318,Vega ENT Hospitals,MEDICAL,11.0144183,76.9437894,Coimbatore,Tamil Nadu,
osm-node-6932162502,Rao Hospital,MEDICAL,11.018513,76.9445555,Coimbatore,Tamil Nadu,
osm-node-7844132010,PGS Hospital,MEDICAL,11.0153485,76.9524368,Coimbatore,Tamil Nadu,
osm-node-7844131975,Parvathy Hospitals,MEDICAL,11.01472,76.952299,Coimbatore,Tamil Nadu,
osm-node-6936609173,Madurai Eye Center,MEDICAL,11.0137122,76.951316,Coimbatore,Tamil Nadu,
osm-node-6915464620,Veeku Hospital,MEDICAL,11.0150799,76.9517022,Coimbatore,Tamil Nadu,
osm-node-6936359967,"Kumaran Hospital, Coimbatore",MEDICAL,11.0150812,76.95132,Coimbatore,Tamil Nadu,
